method,candidate,target_keep_ratio,actual_tokens_per_frame,actual_keep_ratio,train_subset_signature,eval_subset_signature,overall_action_acc,invalid_prediction_rate,avg_visual_tokens_per_step,avg_memory_tokens_per_step,avg_total_tokens_per_step,token_reduction_ratio_vs_baseline,fps,latency_ms_p50,latency_ms_p95,gpu_peak_allocated_mib,gpu_peak_reserved_mib,num_episodes_eval,num_actions_compared,cuda_visible_devices,decision_bucket,train_root,checkpoint_path,flags_path,summary_path
longvu,longvu_keep_ratio_0_3_q49_d1_r2r5k,0.3,49,0.28994082840236685,9a7056bbf4f395ac,b76cf3ac8c8f8afa,0.4540009878982465,0.3205729809829588,24.5,182.9301061990615,492.203198320573,0.7166007719235602,10.615687819212507,43.31581084989011,48.14154899213463,18331.17919921875,18946.0,240,16196,1,strong,/home/ubuntu/project/StreamVLN/experiments_ext/videollm_comp_training_aware_tf240_runs/20260508_204619_ta_tf240/train_longvu,/home/ubuntu/project/StreamVLN/experiments_ext/videollm_comp_training_aware_tf240_runs/20260508_204619_ta_tf240/train_longvu/checkpoints/longvu_keep_ratio_0_3_q49_d1_r2r5k,/home/ubuntu/project/StreamVLN/experiments_ext/videollm_comp_training_aware_tf240_runs/20260508_204619_ta_tf240/train_longvu/checkpoints/longvu_keep_ratio_0_3_q49_d1_r2r5k/flags.json,/home/ubuntu/project/StreamVLN/experiments_ext/videollm_comp_training_aware_tf240_runs/20260508_204619_ta_tf240/tf240_eval_longvu_nexttoken_precompute/eval/longvu_keep_ratio_0_3_q49_d1_r2r5k_teacher_forcing_240/summary.json
longvu,longvu_keep_ratio_0_5_q81_d1_r2r5k,0.5,81,0.47928994082840237,9a7056bbf4f395ac,b76cf3ac8c8f8afa,0.41220054334403555,0.3930600148184737,40.5,302.394665349469,763.132316621388,0.5606060460626491,9.244045169630626,56.42732162959874,62.86923529114574,18331.24169921875,67536.0,240,16196,1,strong,/home/ubuntu/project/StreamVLN/experiments_ext/videollm_comp_training_aware_tf240_runs/20260508_204619_ta_tf240/train_longvu,/home/ubuntu/project/StreamVLN/experiments_ext/videollm_comp_training_aware_tf240_runs/20260508_204619_ta_tf240/train_longvu/checkpoints/longvu_keep_ratio_0_5_q81_d1_r2r5k,/home/ubuntu/project/StreamVLN/experiments_ext/videollm_comp_training_aware_tf240_runs/20260508_204619_ta_tf240/train_longvu/checkpoints/longvu_keep_ratio_0_5_q81_d1_r2r5k/flags.json,/home/ubuntu/project/StreamVLN/experiments_ext/videollm_comp_training_aware_tf240_runs/20260508_204619_ta_tf240/tf240_eval_longvu_nexttoken_precompute/eval/longvu_keep_ratio_0_5_q81_d1_r2r5k_teacher_forcing_240/summary.json
longvu,longvu_keep_ratio_0_7_q121_d1_r2r5k,0.7,121,0.7159763313609467,9a7056bbf4f395ac,b76cf3ac8c8f8afa,0.3996665843418128,0.4040503828105705,60.5,451.7253642874784,1101.7937144974067,0.36561263873651034,8.268094927453404,71.48940931074321,77.08934741094708,18476.609375,96346.0,240,16196,1,strong,/home/ubuntu/project/StreamVLN/experiments_ext/videollm_comp_training_aware_tf240_runs/20260508_204619_ta_tf240/train_longvu,/home/ubuntu/project/StreamVLN/experiments_ext/videollm_comp_training_aware_tf240_runs/20260508_204619_ta_tf240/train_longvu/checkpoints/longvu_keep_ratio_0_7_q121_d1_r2r5k,/home/ubuntu/project/StreamVLN/experiments_ext/videollm_comp_training_aware_tf240_runs/20260508_204619_ta_tf240/train_longvu/checkpoints/longvu_keep_ratio_0_7_q121_d1_r2r5k/flags.json,/home/ubuntu/project/StreamVLN/experiments_ext/videollm_comp_training_aware_tf240_runs/20260508_204619_ta_tf240/tf240_eval_longvu_nexttoken_precompute/eval/longvu_keep_ratio_0_7_q121_d1_r2r5k_teacher_forcing_240/summary.json
